AgentID,C4,C5,experiment,in_degree,max_od
48,0.0,0.1,12,0,4
49,0.0,0.1,12,3,4
0,0.0,0.1,13,30,5
1,0.0,0.1,13,1,5
2,0.0,0.1,13,20,5
3,0.0,0.1,13,0,5
4,0.0,0.1,13,2,5
5,0.0,0.1,13,17,5
6,0.0,0.1,13,0,5
7,0.0,0.1,13,0,5
8,0.0,0.1,13,0,5
9,0.0,0.1,13,1,5
10,0.0,0.1,13,6,5
11,0.0,0.1,13,0,5
12,0.0,0.1,13,0,5
13,0.0,0.1,13,2,5
14,0.0,0.1,13,1,5
15,0.0,0.1,13,7,5
16,0.0,0.1,13,10,5
17,0.0,0.1,13,8,5
18,0.0,0.1,13,0,5
19,0.0,0.1,13,0,5
20,0.0,0.1,13,4,5
21,0.0,0.1,13,2,5
22,0.0,0.1,13,10,5
23,0.0,0.1,13,1,5
24,0.0,0.1,13,0,5
25,0.0,0.1,13,0,5
26,0.0,0.1,13,1,5
27,0.0,0.1,13,5,5
28,0.0,0.1,13,0,5
29,0.0,0.1,13,17,5
30,0.0,0.1,13,0,5
31,0.0,0.1,13,2,5
32,0.0,0.1,13,5,5
33,0.0,0.1,13,0,5
34,0.0,0.1,13,5,5
35,0.0,0.1,13,3,5
36,0.0,0.1,13,1,5
37,0.0,0.1,13,16,5
38,0.0,0.1,13,0,5
39,0.0,0.1,13,5,5
40,0.0,0.1,13,0,5
41,0.0,0.1,13,7,5
42,0.0,0.1,13,3,5
43,0.0,0.1,13,2,5
44,0.0,0.1,13,6,5
45,0.0,0.1,13,37,5
46,0.0,0.1,13,0,5
47,0.0,0.1,13,2,5
48,0.0,0.1,13,11,5
49,0.0,0.1,13,0,5
0,0.0,0.1,14,13,6
1,0.0,0.1,14,0,6
2,0.0,0.1,14,12,6
3,0.0,0.1,14,0,6
4,0.0,0.1,14,3,6
5,0.0,0.1,14,2,6
6,0.0,0.1,14,2,6
7,0.0,0.1,14,0,6
8,0.0,0.1,14,0,6
9,0.0,0.1,14,8,6
10,0.0,0.1,14,7,6
11,0.0,0.1,14,4,6
12,0.0,0.1,14,2,6
13,0.0,0.1,14,0,6
14,0.0,0.1,14,3,6
15,0.0,0.1,14,0,6
16,0.0,0.1,14,3,6
17,0.0,0.1,14,2,6
18,0.0,0.1,14,0,6
19,0.0,0.1,14,3,6
20,0.0,0.1,14,4,6
21,0.0,0.1,14,0,6
22,0.0,0.1,14,6,6
23,0.0,0.1,14,0,6
24,0.0,0.1,14,2,6
